"Ozone (O3), lat=23.0916, lon=113.3480 [CN_1348A]"
"Station: CN_1348A"
"Time Period (UTC+8): 20201219-20201225"
"Time","Height","ppb","Source","Status","Method ID"
2020/12/24 18:00:00,0.0000,20.408200,"AQ_CNEMC",-1,0
2020/12/24 19:00:00,0.0000,18.367300,"AQ_CNEMC",-1,0
2020/12/24 20:00:00,0.0000,16.326500,"AQ_CNEMC",-1,0
2020/12/24 21:00:00,0.0000,13.265300,"AQ_CNEMC",-1,0
2020/12/24 22:00:00,0.0000,7.653060,"AQ_CNEMC",-1,0
2020/12/24 23:00:00,0.0000,7.653060,"AQ_CNEMC",-1,0
2020/12/25 00:00:00,0.0000,11.224500,"AQ_CNEMC",-1,0
2020/12/25 01:00:00,0.0000,15.816300,"AQ_CNEMC",-1,0
2020/12/25 02:00:00,0.0000,16.836700,"AQ_CNEMC",-1,0
2020/12/25 03:00:00,0.0000,21.428600,"AQ_CNEMC",-1,0
2020/12/25 04:00:00,0.0000,22.449000,"AQ_CNEMC",-1,0
2020/12/25 05:00:00,0.0000,21.938800,"AQ_CNEMC",-1,0
2020/12/25 06:00:00,0.0000,22.449000,"AQ_CNEMC",-1,0
2020/12/25 07:00:00,0.0000,18.367300,"AQ_CNEMC",-1,0
2020/12/25 08:00:00,0.0000,17.857100,"AQ_CNEMC",-1,0
2020/12/25 09:00:00,0.0000,16.326500,"AQ_CNEMC",-1,0
2020/12/25 10:00:00,0.0000,17.857100,"AQ_CNEMC",-1,0
2020/12/25 13:00:00,0.0000,19.387800,"AQ_CNEMC",-1,0
2020/12/25 23:00:00,0.0000,7.653060,"AQ_CNEMC",-1,0
